TransID,user_id,event_timestamp,interface,tx_status
W1521,c8fbbc86abe8bd6a5eb6a3b4d0411301,2020-01-10 14:11:05.630000,app,complete
W1522,c8fbbc86abe8bd6a5eb6a3b4d0411301,2020-01-10 18:26:02.853000,app,complete
W1523,c8fbbc86abe8bd6a5eb6a3b4d0411301,2020-01-10 18:26:45.660000,app,failed
W1572,2b45c629e577731c4df84fc34f936a89,2020-01-17 19:51:50.490000,web,complete
W1588,2b45c629e577731c4df84fc34f936a89,2020-01-18 00:07:18.364000,web,complete
W1589,2b45c629e577731c4df84fc34f936a89,2020-01-18 06:22:05.010000,web,complete
W1590,2b45c629e577731c4df84fc34f936a89,2020-01-18 06:27:59.517000,web,complete
W1591,2b45c629e577731c4df84fc34f936a89,2020-01-18 15:43:23.522000,web,complete
W1592,2b45c629e577731c4df84fc34f936a89,2020-01-18 19:33:21.430000,web,complete
W1593,2b45c629e577731c4df84fc34f936a89,2020-01-18 21:29:38.429000,web,complete
W1626,2b45c629e577731c4df84fc34f936a89,2020-01-24 19:26:30.216000,web,complete
W1627,2b45c629e577731c4df84fc34f936a89,2020-01-24 19:28:04.153000,web,complete
W1637,0d7de1aca9299fe63f3e0041f02638a3,2020-02-04 21:39:21.295000,web,failed
W1645,2b45c629e577731c4df84fc34f936a89,2020-02-10 21:19:56.838000,web,complete
W1646,2b45c629e577731c4df84fc34f936a89,2020-02-10 21:51:26.964000,web,complete
W1647,2b45c629e577731c4df84fc34f936a89,2020-02-10 21:55:40.099000,web,complete
W1648,2b45c629e577731c4df84fc34f936a89,2020-02-10 21:58:29.851000,web,complete
W1649,2b45c629e577731c4df84fc34f936a89,2020-02-10 21:59:58.589000,web,complete
W1650,2b45c629e577731c4df84fc34f936a89,2020-02-10 22:02:16.144000,web,complete
W1651,2b45c629e577731c4df84fc34f936a89,2020-02-10 22:03:02.964000,web,complete
W1652,2b45c629e577731c4df84fc34f936a89,2020-02-10 22:10:39.169000,web,complete
W1653,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:34:27.076000,web,complete
W1654,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:37:46.394000,web,complete
W1655,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:42:13.302000,web,complete
W1656,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:44:41.253000,web,complete
W1657,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:52:17.292000,web,complete
W1658,2b45c629e577731c4df84fc34f936a89,2020-02-11 18:57:12.844000,web,complete
W1659,2b45c629e577731c4df84fc34f936a89,2020-02-11 20:16:43.179000,web,complete
W1660,2b45c629e577731c4df84fc34f936a89,2020-02-11 20:46:32.376000,web,complete
